Replicate,Donor,CAR,CD137,CD25,CD69,CTLA4,LAG3,PD1,TIM3
1,2–2,EGFRt,0.22,18,10.9,2.47,9.11,3.38,42
2,2–2,EGFRt,0.25,17.8,10.9,2.41,9.19,3.29,42.1
3,2–2,EGFRt,0.33,18,10.9,2.65,9.21,3.4,42.3
1,2–2,Leu16,0.22,56.2,22.4,0.84,15.6,5.58,42.8
2,2–2,Leu16,0.27,56.9,22.3,0.85,15.1,5.61,40.8
3,2–2,Leu16,0.28,54.7,22.2,0.79,15.9,5.69,43.3
1,2–2,Rituximab,0.98,82.9,36.5,1.65,51.6,17.7,71.4
2,2–2,Rituximab,1.02,82.9,37.1,8.02,53,17.4,67.2
3,2–2,Rituximab,1.12,83.3,37.9,1.74,53.1,18.2,72.2
1,3,EGFRt,0.65,6.15,32.3,0.5,0.67,3.38,66.9
2,3,EGFRt,0.66,6.08,32.4,0.48,0.65,3.47,67.7
3,3,EGFRt,0.79,6.61,32.3,0.45,0.65,3.48,68.8
1,3,CD19,0.52,11.5,56.4,0.72,1.17,4.32,80.4
2,3,CD19,0.88,11.6,57,0.75,0.77,3.98,81
3,3,CD19,0.81,11.8,57.1,0.72,0.72,4.08,80.4
1,3,Leu16,1.23,12.4,55.1,0.7,0.44,4.19,81.1
2,3,Leu16,1.04,12.3,53.8,0.7,0.53,3.7,81.7
3,3,Leu16,1.05,12.8,53.8,0.6,0.72,3.91,83.5
1,3,Rituximab,3.2,23.8,59.3,1.46,1.28,6.96,84.5
2,3,Rituximab,3.31,24.8,59.1,1.49,1.84,7.43,85
3,3,Rituximab,3.44,23.9,59.5,1.26,1.45,7.03,85.8
1,3,RFR-LCDR,4.29,11.6,56.8,2.18,0.66,6.64,77.5
2,3,RFR-LCDR,4.01,11.1,56.8,2.01,0.66,6.79,77.8
3,3,RFR-LCDR,4.15,11.9,57.2,2.23,0.77,4.12,78.6
1,3,GD2,3.81,31.6,59.8,1.12,1.88,8.79,85.1
2,3,GD2,3.57,32.1,60.4,1.1,2.64,9.29,86
3,3,GD2,3.84,32.4,60.2,1.15,2.58,9.69,85.5
1,4,EGFRt,0.65,25.3,55.2,0.66,8.96,31.7,78.1
2,4,EGFRt,0.56,25.1,57,0.54,8.43,33.3,75.6
3,4,EGFRt,0.74,24,58.4,0.61,8.37,33.4,75.9
1,4,CD19,0.55,31.8,70.2,0.78,9.86,42.2,87.9
2,4,CD19,0.53,30.8,72,0.67,9.96,39.6,86.3
3,4,CD19,0.54,29.7,71.8,0.74,10.2,43.8,87.3
1,4,Leu16,0.44,45.3,60.3,0.34,41.6,16.4,81.4
2,4,Leu16,0.4,51.6,61.4,0.29,41.7,16.5,78.8
3,4,Leu16,0.38,51.8,58.9,0.33,32.9,17.8,80.4
1,4,Rituximab,17.2,55.1,86.5,14.8,20.3,55,82.7
2,4,Rituximab,13.7,50.8,85.6,13.1,19.7,51.3,80.7
3,4,Rituximab,14.1,51.7,85.5,11.6,19.3,50.8,79.9
1,4,RFR-LCDR,3.91,23.2,75.4,2.25,10.5,26,83.2
2,4,RFR-LCDR,4.3,23.1,74.8,2.83,10.4,30,82.2
3,4,RFR-LCDR,3.74,24.5,77,2.57,11.7,29.1,81.9
1,4,GD2,14.7,76.1,84.6,5.03,37.2,57.5,88.1
2,4,GD2,14.3,74.5,86.1,4.45,36.4,59.9,87.2
3,4,GD2,13.7,72.9,86.7,4.9,35.9,60.3,87.4
1,5–2,EGFRt,0.4,20.1,12.7,2.56,9.06,9.33,21.4
2,5–2,GD2,1.43,25.8,31.4,0.74,25.9,22.4,41.8
3,5–2,Leu16,0.36,22.7,22,0.47,14.9,15.5,28.7
1,5–2,Rituximab,1.5,69.2,43.5,1.92,33,35.4,44.6
2,5–2,RFR-LCDR,0.51,44.4,31.3,1.36,18.6,22.5,32.4
3,5–2,EGFRt,0.38,21.1,13,2.24,8.83,9.33,20.8
1,5–2,GD2,1.51,30.6,31.5,0.79,26.5,24.2,42.7
2,5–2,Leu16,0.39,24.3,23.7,0.48,15.3,15.3,28.6
3,5–2,Rituximab,1.5,67.7,43.8,1.75,32.6,35.7,45.1
1,5–2,RFR-LCDR,0.48,48.9,31.5,1.32,17.1,22.4,29.5
2,5–2,EGFRt,0.37,21.6,13.1,2.46,8.89,9.99,21.5
3,5–2,GD2,1.46,27,31.2,0.74,27.1,20.8,41.5
1,5–2,Leu16,0.36,25.3,24.1,0.55,15.7,14.6,28.5
2,5–2,Rituximab,1.51,67.8,42.1,1.85,32.8,35,44.3
3,5–2,RFR-LCDR,0.39,47.6,31.3,1.47,18.4,22.4,30.3
1,7,CD19,0.51,69.4,37.8,3.16,21.3,25.9,27.4
2,7,EGFRt,0.4,37,22.6,2.43,9.24,11.5,24.7
3,7,GD2,1.04,65,44.8,1.33,19.7,25.8,27.1
1,7,Leu16,0.53,65.4,33.4,1.12,13.2,28.3,20.1
2,7,Rituximab,0.89,79.9,44.2,1.12,43.3,38.6,36.2
3,7,RFR-LCDR,0.28,67.3,32.5,0.85,11.8,30.1,17.8
1,7,CD19,0.48,68.3,36.1,2.97,19.8,25,25.9
2,7,EGFRt,0.35,36.3,22.5,2.43,9.26,12.1,25
3,7,GD2,1.28,66,46.3,1.26,19.6,25.5,27.1
1,7,Leu16,0.46,65.8,35,1.01,13.3,28.5,20.9
2,7,Rituximab,0.88,81,45,1.11,43.5,38.4,35.9
3,7,RFR-LCDR,0.31,67.2,33.1,0.78,11.5,30.2,17.1
1,7,CD19,0.54,68,36.1,3.15,20.7,26,27.3
2,7,EGFRt,0.36,36.4,22.6,2.3,9.34,11.4,24.8
3,7,GD2,0.99,62.6,43.9,1.43,19.2,27.3,28.1
1,7,Leu16,0.51,64.8,33.9,1.16,13,27.6,20.5
2,7,Rituximab,0.98,80.6,43.6,1.11,44.1,38.3,35.8
3,7,RFR-LCDR,0.34,66.5,31.8,0.84,11.7,29.9,17.9
1,8,EGFRt,0.45,32.6,19.9,3.38,6.58,4.64,22.7
2,8,EGFRt,0.45,33.2,19.9,3.31,6.31,4.58,22.2
3,8,EGFRt,0.31,31.7,18.9,3.36,6.01,4.3,20.8
1,8,Leu16,0.54,53.9,29.8,1.06,10.6,9.44,29.6
2,8,Leu16,0.55,60.2,31.9,1.15,10.4,9.5,28.9
3,8,Leu16,0.56,56,30.7,1.06,10.7,9.48,29.1
1,8,Rituximab,2.2,92,35.8,2.71,50.5,28.8,61.4
2,8,Rituximab,2.04,91.8,36.5,2.47,50.6,29.2,61.8
3,8,Rituximab,2.15,91.7,35.6,2.84,51.3,29.4,62
