Donor,CAR,Replicate,ATPADP,GSHGSSG,NADHNAD,aKG,citrate,fumarate,malate,FBP
1,CD19,1,1.020724782,,,0.963833472,1.157203434,1.236960459,1.138997015,1.07061748
1,CD19,2,0.60427035,,,1.094931161,1.227831624,1.216187454,1.195658461,1.165962248
1,CD19,3,0.903849728,,,1.286698283,1.34607592,1.311684904,1.247742946,1.243176327
1,EGFRt,1,0.963379329,,,1.070320312,1.054425941,1.038388057,1.053900363,1.084149868
1,EGFRt,2,0.942779511,,,0.950750287,0.879313962,0.974165768,0.95808342,0.950035509
1,EGFRt,3,1.095823921,,,0.978929401,1.066260096,0.987446176,0.988016217,0.965814623
1,RFR-LCDR,1,0.301002355,,,0.954848164,0.92816825,1.423716325,1.065699265,1.513866135
1,RFR-LCDR,2,0.464582277,,,0.988852994,1.047070405,1.485991052,0.957860322,1.565401256
1,RFR-LCDR,3,0.519334752,,,1.196272052,0.862525196,1.359319097,0.868978835,1.31487285
1,Leu16,1,0.527637013,,,1.517207784,1.6746639,1.128667528,1.632330852,1.885127937
1,Leu16,2,0.831909676,,,1.160179032,1.370176902,1.140623106,1.291520716,0.931311334
1,Leu16,3,0.775720357,,,0.980056015,1.150175485,1.027620831,1.164416682,1.022754721
1,Rituximab,1,0.328508179,,,0.704872396,1.089377714,1.148941388,1.034112033,1.0624987
1,Rituximab,2,0.283518003,,,1.138775379,0.996562427,1.583723672,1.061793433,1.442300147
1,Rituximab,3,0.229640443,,,0.973957006,0.984283933,1.358072107,1.030794707,1.678601484
4,CD19,1,0.484001106,0.825001077,,1.167517523,0.79901078,0.945186902,1.031675869,1.003635785
4,CD19,2,0.633891366,0.42148476,,1.261746728,1.041024446,1.153382676,1.182636419,1.182028351
4,CD19,3,1.008615772,0.63787864,,1.023720098,1.112970213,0.92462586,1.071336342,0.855146038
4,EGFRt,1,0.606372862,2.515870601,,0.995429215,0.938861062,1.294173746,1.008413585,0.817751312
4,EGFRt,2,1.280174141,0.450914317,,0.988002005,1.0341108,0.848848639,0.958640163,1.27887
4,EGFRt,3,0.960457726,1.044857982,,1.01656878,1.027028139,0.856977615,1.032946252,0.903378688
4,GD2,1,0.459505541,1.293642717,,1.145461358,0.860771539,1.138127235,1.156372551,0.586943208
4,GD2,2,0.552648274,1.330403683,,1.400395304,0.882285933,1.263055945,1.229936118,0.716993187
4,GD2,3,0.488772551,0.95657387,,1.192495001,0.817140552,1.352887717,1.214653163,0.761943258
