Replicate,Donor,CAR,lacglc,glugln
1,1,CD19,0.491432301,0.007103215
2,1,CD19,0.600522147,0.021431898
3,1,CD19,0.540890205,0.01279653
1,2,CD19,0.454566452,0.160418005
2,2,CD19,0.388292509,0.060377098
3,2,CD19,0.662338121,0.12505568
1,3,CD19,0.630924584,0.053309463
2,3,CD19,0.526583214,0.052799237
3,3,CD19,0.610222542,0.052375074
1,4,CD19,0.580985447,0.072165175
2,4,CD19,0.635983153,0.071163856
3,4,CD19,0.509956095,0.06274719
1,1,EGFRt,0.495620908,0.016854633
2,1,EGFRt,0.52597045,0.025721934
3,1,EGFRt,0.649908612,0.012842533
1,2,EGFRt,0.325633991,8.95E-08
2,2,EGFRt,0.512106995,0.011929571
3,2,EGFRt,0.604764269,0.008653408
1,3,EGFRt,0.413370595,0.012173381
2,3,EGFRt,0.47068463,0.014530629
3,3,EGFRt,0.395668222,0.013627742
1,4,EGFRt,0.538344012,0.034076384
2,4,EGFRt,0.558466728,0.039630356
3,4,EGFRt,0.646025319,0.041143302
1,3,GD2,0.465862744,0.147405711
2,3,GD2,0.442101716,0.11359253
3,3,GD2,0.463547091,0.085663801
1,4,GD2,0.501926641,0.086161729
2,4,GD2,0.561741891,0.117830547
3,4,GD2,0.560828403,0.114859981
1,1,Leu16,0.871540949,0.029559456
2,1,Leu16,0.506521456,0.020361276
3,1,Leu16,0.712202917,0.014512084
1,2,Leu16,0.347915301,0.017247856
2,2,Leu16,0.467133502,0.033592787
3,2,Leu16,0.487829451,0.031764806
1,3,Leu16,0.497637057,1.70E-08
2,3,Leu16,0.528942004,8.00E-09
3,3,Leu16,0.508922935,5.07E-08
1,4,Leu16,0.480906373,0.019900858
2,4,Leu16,0.629625204,0.048973277
3,4,Leu16,0.680124701,0.059129503
1,1,RFR-LCDR,0.716530401,0.028771624
2,1,RFR-LCDR,0.64282836,0.02477938
3,1,RFR-LCDR,0.648732203,0.026214799
1,2,RFR-LCDR,0.751391211,0.080431129
2,2,RFR-LCDR,0.589270532,0.097058449
3,2,RFR-LCDR,0.666569554,0.082820266
1,3,RFR-LCDR,0.714210962,0.108065455
2,3,RFR-LCDR,0.722391017,0.132868372
3,3,RFR-LCDR,0.668389262,0.086468256
1,4,RFR-LCDR,0.733570054,0.118374975
2,4,RFR-LCDR,0.545078979,0.072545151
3,4,RFR-LCDR,0.682034088,0.117929387
1,2,RFR-LCDR.AA,0.575654901,0.072183004
2,2,RFR-LCDR.AA,0.668924582,0.069153052
3,2,RFR-LCDR.AA,0.710198705,0.096059803
1,4,RFR-LCDR.AA,0.641582518,0.130342177
2,4,RFR-LCDR.AA,0.676309432,0.151693837
3,4,RFR-LCDR.AA,0.488362911,0.1181163
1,1,Rituximab,0.610594661,0.026341638
2,1,Rituximab,0.673788333,0.036472492
3,1,Rituximab,0.579665007,0.026462615
1,2,Rituximab,0.673235076,0.125647861
2,2,Rituximab,0.749477235,0.10614145
3,2,Rituximab,0.652176529,0.121017468
1,3,Rituximab,0.451246224,0.150152911
2,3,Rituximab,0.408419686,0.150254349
3,3,Rituximab,0.483806956,0.16136232
1,4,Rituximab,0.533246857,0.08742101
2,4,Rituximab,0.626340462,0.1233106
3,4,Rituximab,0.667572837,0.115011233
1,2,Rituximab.AA,0.621801515,0.10638641
2,2,Rituximab.AA,0.620864831,0.115962896
3,2,Rituximab.AA,0.653407021,0.134998567
1,4,Rituximab.AA,0.713819991,0.124685918
2,4,Rituximab.AA,0.616226936,0.101258534
3,4,Rituximab.AA,0.598764398,0.117076505
