Replicate,Donor,Growth,Media
1,1,0,dFBS
2,1,0.002195321,dFBS
3,1,0.002583203,dFBS
1,1,0.00449288,amm
2,1,0.00560857,amm
3,1,0.00527417,amm
1,1,0.005271551,lac
2,1,0.006557932,lac
3,1,0.005882638,lac
1,1,0.001414543,ammlac
2,1,0.000560634,ammlac
3,1,0,ammlac
1,3,0.013854326,dFBS
2,3,0.014587244,dFBS
3,3,0.017832105,dFBS
1,3,0.012357695,amm
2,3,0.012424268,amm
3,3,0.008989771,amm
1,3,0.017141848,lac
2,3,0.010086001,lac
3,3,0.011514816,lac
1,3,0.009932103,ammlac
2,3,0.010842326,ammlac
3,3,0.009537442,ammlac
1,4,0.009728271,dFBS
2,4,0.008740487,dFBS
3,4,0.009213767,dFBS
1,4,0.013342376,ala
2,4,0.011501067,ala
3,4,0.016306271,ala
1,4,0.00861405,amm
2,4,0.013696284,amm
3,4,0.010114729,amm
