Replicate,Donor,Growth,Media
1,1,0.001910592,dFBS
2,1,0.01053078,dFBS
3,1,0.00428607,dFBS
1,1,0.00627703,amm
2,1,0.008395914,amm
3,1,0.002959689,amm
1,1,0.006658132,lac
2,1,0.007066123,lac
3,1,0.007684003,lac
1,1,0.002999826,ammlac
2,1,0.002062192,ammlac
3,1,0.001604193,ammlac
1,3,0.006660854,dFBS
2,3,0.007729321,dFBS
3,3,0.005629885,dFBS
1,3,0.006191646,amm
2,3,0.006497466,amm
3,3,0.00826523,amm
1,3,0.005733732,lac
2,3,0.006953843,lac
3,3,0.004533121,lac
1,3,0.007175404,ammlac
2,3,0.005794087,ammlac
3,3,0.006064137,ammlac
1,4,0.010973966,dFBS
2,4,0.01133814,dFBS
3,4,0.011827255,dFBS
1,4,0.015216972,ala
2,4,0.018868199,ala
3,4,0.015141527,ala
1,4,0.010007195,amm
2,4,0.015776471,amm
3,4,0.010947317,amm
