Replicate,Donor,Growth,Media
1,1,0.012080556,dFBS
2,1,0.014760657,dFBS
3,1,0.01233316,dFBS
1,1,0.015716342,amm
2,1,0.014428016,amm
3,1,0.015303535,amm
1,1,0.014739445,lac
2,1,0.015362204,lac
3,1,0.016791662,lac
1,1,0.01094967,ammlac
2,1,0.008213177,ammlac
3,1,0.00730723,ammlac
1,3,0.015510647,dFBS
2,3,0.017736458,dFBS
3,3,0.014995828,dFBS
1,3,0.009421609,amm
2,3,0.006516292,amm
3,3,0.01215857,amm
1,3,0.007386854,lac
2,3,0.0083075,lac
3,3,0.007916843,lac
1,3,0.012379339,ammlac
2,3,0.009541521,ammlac
3,3,0.007740778,ammlac
1,4,0.015296839,dFBS
2,4,0.017307039,dFBS
3,4,0.017002353,dFBS
1,4,0.014264776,ala
2,4,0.013874343,ala
3,4,0.016157588,ala
1,4,0.012391863,amm
2,4,0.010010443,amm
3,4,0.010448341,amm
