CAR,Replicate,Donor,Growth
CD19,1,1,0.003209495
CD19,2,1,0.006800924
CD19,3,1,0.005787752
EGFRt,1,1,0
EGFRt,2,1,0.002195321
EGFRt,3,1,0.002583203
Leu16,1,1,0.001910592
Leu16,2,1,0.01053078
Leu16,3,1,0.00428607
Rituximab,1,1,0.012080556
Rituximab,2,1,0.014760657
Rituximab,3,1,0.01233316
RFR-LCDR,1,1,0.015361247
RFR-LCDR,2,1,0.017368368
RFR-LCDR,3,1,0.015308842
EGFRt,1,2,0.001693636
EGFRt,2,2,0
EGFRt,3,2,0.00134021
CD19,1,2,0
CD19,2,2,0.001440308
CD19,3,2,0.000784712
Leu16,1,2,0.004108029
Leu16,2,2,0.002897716
Leu16,3,2,0.003663085
Rituximab,1,2,0.007859447
Rituximab,2,2,0.00560869
Rituximab,3,2,0.007129067
RFR-LCDR,1,2,0.008419122
RFR-LCDR,2,2,0.006457408
RFR-LCDR,3,2,0.00190565
Rituximab.AA,1,2,0.006734431
Rituximab.AA,2,2,0.002984942
Rituximab.AA,3,2,0.00262135
RFR-LCDR.AA,1,2,0.004881479
RFR-LCDR.AA,2,2,0.004099685
RFR-LCDR.AA,3,2,0.006795872
CD19,1,3,0.011599758
CD19,2,3,0.006535786
CD19,3,3,0.008631728
EGFRt,1,3,0.013854326
EGFRt,2,3,0.014587244
EGFRt,3,3,0.017832105
GD2,1,3,0.009052134
GD2,2,3,0.007621295
GD2,3,3,0.008366637
Leu16,1,3,0.006660854
Leu16,2,3,0.007729321
Leu16,3,3,0.005629885
Rituximab,1,3,0.015510647
Rituximab,2,3,0.017736458
Rituximab,3,3,0.014995828
RFR-LCDR,1,3,0.013520203
RFR-LCDR,2,3,0.013178597
RFR-LCDR,3,3,0.013053262
CD19,1,4,0
CD19,2,4,0.010957595
CD19,3,4,0.006322211
EGFRt,1,4,0.009728271
EGFRt,2,4,0.008740487
EGFRt,3,4,0.009213767
GD2,1,4,0.003094891
GD2,2,4,0.009240191
GD2,3,4,0.010361367
Leu16,1,4,0.010973966
Leu16,2,4,0.01133814
Leu16,3,4,0.011827255
Rituximab,1,4,0.015296839
Rituximab,2,4,0.017307039
Rituximab,3,4,0.017002353
RFR-LCDR,1,4,0.015599045
RFR-LCDR,2,4,0.020698899
RFR-LCDR,3,4,0.018117214
Rituximab.AA,1,4,0.015341351
Rituximab.AA,2,4,0.019159215
Rituximab.AA,3,4,0.016313467
RFR-LCDR.AA,1,4,0.014290526
RFR-LCDR.AA,2,4,0.015909174
RFR-LCDR.AA,3,4,0.014281478
EGFRt,1,5,0
EGFRt,2,5,0.000226143
EGFRt,3,5,0.000114784
CD19,1,5,0.004390021
CD19,2,5,0.004601349
CD19,3,5,0.002990493
Leu16,1,5,0.000411188
Leu16,2,5,0.002556168
Leu16,3,5,0.001977772
Rituximab,1,5,0.007920691
Rituximab,2,5,0.007521385
Rituximab,3,5,0.005370459
RFR-LCDR,1,5,0.002471524
RFR-LCDR,2,5,0.002489428
RFR-LCDR,3,5,0.003752151
Rituximab.AA,1,5,0.00635082
Rituximab.AA,2,5,0.004559743
Rituximab.AA,3,5,0.005220871
RFR-LCDR.AA,1,5,0.001848869
RFR-LCDR.AA,2,5,0.002122203
RFR-LCDR.AA,3,5,0
