Replicate,Donor,CAR,glucose,lactate
1,1,CD19,102.4373462,100.6820414
2,1,CD19,77.47918203,93.05592943
3,1,CD19,81.62730435,88.30281877
1,2,CD19,113.700007,103.3684175
2,2,CD19,97.49297425,75.71158307
3,2,CD19,68.14059619,90.2642289
1,3,CD19,81.21131693,102.4764327
2,3,CD19,92.79013639,97.72345645
3,3,CD19,88.14093774,107.5711741
1,4,CD19,57.71656323,67.06496652
2,4,CD19,58.62457061,74.56847849
3,4,CD19,54.10470793,55.18205114
1,1,EGFRt,85.84023849,85.08843391
2,1,EGFRt,78.01715062,82.06943165
3,1,EGFRt,59.19268119,76.9396665
1,2,EGFRt,64.19678462,41.80931042
2,2,EGFRt,48.60201997,49.77886883
3,2,EGFRt,36.78042016,44.4869678
1,3,EGFRt,79.69091127,65.88375887
2,3,EGFRt,78.20932484,73.62385427
3,3,EGFRt,82.2824456,65.11309785
1,4,EGFRt,52.6847676,56.72505834
2,4,EGFRt,51.99445045,58.07434121
3,4,EGFRt,42.84533412,55.35834127
1,3,GD2,128.3490614,119.5860919
2,3,GD2,129.8926692,114.8515439
3,3,GD2,127.999373,118.6674739
1,4,GD2,99.52189038,99.90537622
2,4,GD2,114.6378298,128.7937425
3,4,GD2,114.4747836,128.40142
1,1,Leu16,59.40660254,103.5505736
2,1,Leu16,81.01244668,82.06908492
3,1,Leu16,62.19057478,88.58461755
1,2,Leu16,76.28678646,53.08268052
2,2,Leu16,59.03490627,55.15436501
3,2,Leu16,59.90896508,58.45071511
1,3,Leu16,86.76766277,86.35760871
2,3,Leu16,84.01482352,88.87793822
3,3,Leu16,90.50305156,92.11815723
1,4,Leu16,63.55516564,61.1281684
2,4,Leu16,64.44289788,81.14974538
3,4,Leu16,53.7518499,73.11592173
1,1,RFR-LCDR,89.52652118,128.2969482
2,1,RFR-LCDR,81.59190688,104.8991834
3,1,RFR-LCDR,80.6333227,104.6188662
1,2,RFR-LCDR,44.5780798,66.99115477
2,2,RFR-LCDR,80.57477009,94.96067533
3,2,RFR-LCDR,76.06899503,101.4105522
1,3,RFR-LCDR,74.40911165,106.2876065
2,3,RFR-LCDR,77.42361765,111.8602517
3,3,RFR-LCDR,84.71123166,113.2401553
1,4,RFR-LCDR,54.61665013,80.13027799
2,4,RFR-LCDR,58.25246224,63.5043853
3,4,RFR-LCDR,55.33635225,75.48255709
1,2,RFR-LCDR.AA,117.285491,135.0319355
2,2,RFR-LCDR.AA,107.4790733,143.7907883
3,2,RFR-LCDR.AA,105.6712619,150.0951867
1,4,RFR-LCDR.AA,49.1344141,63.04756226
2,4,RFR-LCDR.AA,46.77878371,63.27386531
3,4,RFR-LCDR.AA,57.47512434,56.13743803
1,1,Rituximab,105.4788963,128.809702
2,1,Rituximab,89.41395515,120.4921597
3,1,Rituximab,88.24456441,102.3045721
1,2,Rituximab,193.0827128,259.9801098
2,2,Rituximab,177.4929983,266.0539233
3,2,Rituximab,174.1372395,227.1364408
1,3,Rituximab,119.9844902,108.2850963
2,3,Rituximab,131.2873123,107.2406457
3,3,Rituximab,119.7032753,115.8265546
1,4,Rituximab,103.5792,110.4665656
2,4,Rituximab,83.50145956,104.6006855
3,4,Rituximab,92.32544116,123.2679134
1,2,Rituximab.AA,215.3379626,267.7949426
2,2,Rituximab.AA,207.1466253,257.2201089
3,2,Rituximab.AA,196.4672625,256.7461776
1,4,Rituximab.AA,66.36302621,94.74250948
2,4,Rituximab.AA,73.22402463,90.24523269
3,4,Rituximab.AA,76.7371897,91.89499437
