Replicate,Donor,Growth,Media
1,1,0.003209495,dFBS
2,1,0.006800924,dFBS
3,1,0.005787752,dFBS
1,1,0.006706374,amm
2,1,0.008588219,amm
3,1,0.007665703,amm
1,1,0.006405096,lac
2,1,0.008145763,lac
3,1,0.005047874,lac
1,1,0.005316753,ammlac
2,1,0.003849271,ammlac
3,1,0.003177829,ammlac
1,3,0.011599758,dFBS
2,3,0.006535786,dFBS
3,3,0.008631728,dFBS
1,3,0.006423094,amm
2,3,0.003084431,amm
3,3,0.006755053,amm
1,3,0.002159447,lac
2,3,0.004245273,lac
3,3,0.00538535,lac
1,3,0.0014788,ammlac
2,3,0.000807622,ammlac
3,3,0.005617873,ammlac
1,4,0,dFBS
2,4,0.010957595,dFBS
3,4,0.006322211,dFBS
1,4,0.010677397,ala
2,4,0.013587768,ala
3,4,0.013296219,ala
1,4,0.006656493,amm
2,4,0.017769533,amm
3,4,0.009818137,amm
