CAR,Replicate,Donor,Growth
EGFRt,1,8,0.002947309
EGFRt,2,8,0.003000813
EGFRt,3,8,0.0023478
Leu16,1,8,0
Leu16,2,8,0.005125599
Leu16,3,8,0.00386231
Rituximab,1,8,0.014643109
Rituximab,2,8,0.015904191
Rituximab,3,8,0.013143688
Rituximab28mut,1,8,0.011240677
Rituximab28mut,2,8,0.0113279
Rituximab28mut,3,8,0.016224862
Rituximabzmut,1,8,0.000921998
Rituximabzmut,2,8,0.00012285
Rituximabzmut,3,8,0.001464068
Rituximab28mutzmut,1,8,0
Rituximab28mutzmut,2,8,0
Rituximab28mutzmut,3,8,0.001620303
EGFRt,1,2–2,0.006408485
EGFRt,2,2–2,0.006377975
EGFRt,3,2–2,0.002321048
Leu16,1,2–2,0.009265268
Leu16,2,2–2,0.007989178
Leu16,3,2–2,0.007737931
Rituximab,1,2–2,0.017074658
Rituximab,2,2–2,0.015167245
Rituximab,3,2–2,0.015333998
Rituximab28mut,1,2–2,0.017302019
Rituximab28mut,2,2–2,0.020258616
Rituximab28mut,3,2–2,0.01506056
Rituximabzmut,1,2–2,0.014695207
Rituximabzmut,2,2–2,0.011460404
Rituximabzmut,3,2–2,0.010217816
Rituximab28mutzmut,1,2–2,0.007990601
Rituximab28mutzmut,2,2–2,0.011321046
Rituximab28mutzmut,3,2–2,0.012445689
